-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/23/2023 in LST
Location: latitude  32.49   longitude 3.67 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 522.19 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M
2023,1,1,3.5566,10.36,50.51,2.21
2023,1,2,3.3662,10.73,40.45,2.41
2023,1,3,3.6338,10.33,36.12,2.06
2023,1,4,3.6259,9.35,41.24,2.92
2023,1,5,3.6134,8.94,57.69,2.5
2023,1,6,3.5539,9.5,50.53,1.35
2023,1,7,3.7584,9.17,50.46,2.19
2023,1,8,3.9122,9.7,41.68,3.8
2023,1,9,3.6576,12.98,53.85,4.91
2023,1,10,3.8143,14.0,67.24,3.52
2023,1,11,3.9046,12.72,50.66,2.56
2023,1,12,3.4231,12.33,52.26,2.68
2023,1,13,3.6996,12.83,58.02,2.04
2023,1,14,3.8522,11.84,57.5,2.61
2023,1,15,4.0555,10.93,56.14,3.61
2023,1,16,4.0925,11.07,55.12,4.95
2023,1,17,4.135,12.23,47.85,7.34
2023,1,18,3.9557,10.94,53.26,6.76
2023,1,19,4.2288,6.84,44.17,5.74
2023,1,20,4.1335,8.72,54.99,5.07
2023,1,21,3.798,9.72,70.16,4.09
2023,1,22,2.8049,6.7,54.54,5.19
2023,1,23,4.2823,4.08,49.4,2.97
2023,1,24,2.995,3.59,53.72,1.99
2023,1,25,4.243,4.61,60.17,2.95
2023,1,26,4.3025,5.29,65.86,4.87
2023,1,27,3.8923,5.3,61.6,4.7
2023,1,28,4.3171,5.24,55.13,3.31
2023,1,29,3.9545,5.2,59.69,2.84
2023,1,30,4.313,5.59,53.25,2.86
2023,1,31,4.5962,6.56,41.37,1.91
2023,2,1,4.7066,6.25,38.19,2.31
2023,2,2,3.9749,6.11,41.44,5.39
2023,2,3,2.735,7.37,64.7,9.22
2023,2,4,4.0404,8.46,61.48,5.38
2023,2,5,4.3502,7.77,50.18,4.55
